subregion;lat;lon
Southern Asia;25,04;76,46
Northern Europe;62,28;12,34
Southern Europe;41,27;-1,21
Northern Africa;26,02;32,28
Polynesia;-16,84;-148,37
Sub-Saharan Africa;44,96;-93,20
Latin America and the Caribbean;21,47;-78,66
Antarctica;-82,86;135,00
Western Asia;38,91;-77,04
Australia and New Zealand;-41,27;174,78
Western Europe;46,20;1,26
Eastern Europe;52,01;37,96
Northern America;37,09;-95,71
South-eastern Asia;-2,22;115,66
Eastern Asia;38,79;106,53
Melanesia;-8,19;152,83
Micronesia;7,43;150,55
Central Asia;45,45;68,83
